196	784	3	881250949
186	2118	3	891717742
22	14819	1	878887116
244	4476	2	880606923
166	184	1	886397596
298	935	4	884182806
115	1669	2	881171488
253	183407	5	891628467
305	621	3	886324817
6	1245	3	883603013
62	607	2	879372434
286	9611	5	879781125
200	199	5	876042340
210	9090	3	891035994
224	414	3	888104457
303	9058	3	879485318
122	10436	5	879270459
194	6620	2	879539794
291	9061	4	874834944
234	24257	2	892079237
119	10502	4	886176814
167	6620	4	892738452
299	562	4	877881320
291	664	2	874833878
308	862	4	887736532
95	9208	2	879196566
38	812	5	892430094
102	8839	2	883748450
63	35196	4	875747401
160	578	5	876861185
50	2255	3	877052329
301	274	4	882075827
225	9549	4	879539727
290	858	4	880731963
97	253755	3	884238860
157	6620	4	886890835
181	12241	1	878962623
278	567	5	891295330
276	15128	1	874791932
7	26564	4	891350932
10	4482	4	877888877
284	11076	4	885329322
201	58770	2	884114233
276	25066	3	874791805
287	2142	5	875333916
246	765	5	884921594
242	10938	5	879741196
249	9361	5	879641194
99	8012	5	886519097
178	9437	3	882823437
251	275	4	886271884
81	756	2	876535131
260	9415	4	890618898
25	1892	5	885853415
59	207	5	888205088
72	37430	2	880037164
87	36593	4	879877127
290	15121	5	880474293
42	601	5	881107687
292	75567	4	881103977
115	8447	3	881171009
20	4232	1	879667584
201	10014	4	884112673
13	665	3	882141053
246	902	4	884920949
138	16388	5	879024232
167	11967	1	892738341
60	595	5	883326620
57	11076	5	883698581
223	6620	4	891550094
189	144	4	893277702
243	2054	3	879987440
92	18862	1	890251826
246	22660	3	884923047
194	4480	4	879546723
241	978	2	887249482
178	9434	4	882823954
254	20723	3	886475558
293	1710	3	888906576
127	157	5	884364867
225	9390	5	879539643
299	157	3	878192429
225	213	5	879540748
276	6950	3	874791025
291	562	5	874835091
222	9909	4	878183381
267	379	5	878971773
42	268	3	881108684
11	8866	4	891903862
95	9078	4	888954412
8	1281	4	879361873
162	11000	4	877635573
87	1701	4	879876194
279	583	5	875296291
145	4584	2	885557505
119	12635	5	874781198
62	488	4	879373848
62	2759	3	879375537
28	11031	4	881961214
135	103	4	879857765
32	1624	3	883709863
90	2759	5	891383835
286	3034	4	877531942
293	2320	3	888905170
216	562	4	880234639
166	8834	5	886397722
250	1585	4	878090499
271	20910	5	885848672
160	85	5	876860807
265	664	4	875320714
198	488	3	884207492
42	280	5	881107178
168	252	5	884288058
110	1813	4	886987260
58	562	4	884304936
90	3109	4	891384754
271	184	4	885844430
62	10874	3	879373460
279	3587	3	881375854
237	703	4	879376641
94	20306	4	891720887
128	11113	3	879966895
298	7984	4	884182806
44	218	5	878347874
264	18875	5	886122352
194	36955	2	879524643
72	218	5	880037702
222	11831	5	883815120
250	4961	3	878089182
41	1669	3	890687042
224	4477	3	888082216
82	62	3	878769629
262	64315	4	879791710
293	10684	3	888904884
216	8428	3	880245029
250	6878	3	878092059
59	103	5	888205300
286	9059	5	877533771
244	7300	4	880605185
7	426	4	891352010
174	9536	1	886434402
87	6620	4	879876734
